,Model,R2,AIC,BIC
0,Without Sex,0.8104363609686028,-1091.8914378933769,-896.7377900195181
1,With Sex,0.8251043850659081,-1099.9583734314697,-901.9764118203086
2,Only Sex,0.0049894054738199856,-1018.637864056107,-1012.9812365815023
3,Interaction,0.9788201879611284,-1089.7180202274387,-804.4351447111495
